SampleID;SiteID;LocalDateTime;DateTimeUTC;UTCOffset;SampleType;VariableName;UnitsAbbreviation;CensorCode;DataValue
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;2-phenylphenol;ug/L;lt;0.3
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;2,4-dichlorophenoxyacetic acid (2,4-D);ug/L;lt;0.02
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;2,6-dichlorbenzamide;ug/L;lt;0.03
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;4-tert-butylphenol;ug/L;nc;0.3
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;4-tert-octylphenol;ug/L;lt;0.4
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;acenaphthene;ug/L;lt;0.05
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;acenaphthylene;ug/L;lt;0.05
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;acesulfame;ug/L;nc;1.7
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;AMPA;ug/L;lt;0.1
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;anthracene;ug/L;lt;0.01
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benz[a]anthracene;ug/L;nc;0.015
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benzisothiazolinone;ug/L;lt;0.03
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benzo[a]pyrene;ug/L;lt;0.005
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benzo[b]fluoranthene;ug/L;nc;0.019
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benzo[g,h,i]perylene;ug/L;lt;0.01
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benzo[k]fluoranthene;ug/L;lt;0.01
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benzothiazole;ug/L;nc;0.26
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benzotriazole;ug/L;nc;1.3
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;benzylbutyl phthalate;ug/L;lt;0.3
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;bisphenol F;ug/L;lt;0.3
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;caffeine;ug/L;nc;0.77
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;carbamazepine;ug/L;nc;0.19
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;carbendazim;ug/L;nc;0.73
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;chemical oxygen demand (COD);mg/L;nc;137
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;chrysene;ug/L;nc;0.023
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;copper;ug/L;nc;22
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;cybutryne;ug/L;lt;0.02
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;diazinon;ug/L;lt;0.02
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;dibenzo[a,h]anthracene;ug/L;lt;0.01
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;dibutyl phthalate;ug/L;lt;0.5
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;diethyl phthalate;ug/L;lt;0.3
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;diethylhexyl phthalate (DEHP);ug/L;lt;0.2
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;diisodecyl phthalate + diisononyl phthalate (DIDP + DINP);ug/L;nc;2.1
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;dimethyl phthalate;ug/L;lt;0.3
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;dioctyl phthalate;ug/L;lt;0.5
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;diuron;ug/L;lt;0.03
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;fluoranthene;ug/L;nc;0.045
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;fluorene;ug/L;lt;0.01
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;formyl-amino-antipyrine (FAA);ug/L;nc;0.66
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;glyphosate;ug/L;nc;0.87
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;hydroxybenzothiazole;ug/L;nc;0.49
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;indeno[1,2,3-c,d]pyrene;ug/L;lt;0.01
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;isoproturon;ug/L;lt;0.03
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;mecoprop;ug/L;nc;0.71
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;methyl tert-butyl ether (MTBE);ug/L;lt;0.03
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;methylthiobenzothiazole;ug/L;nc;0.12
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;naphthalene;ug/L;lt;0.05
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;nicotine;ug/L;nc;2.6
18;6;2014-06-11 15:36:00;2014-06-11 13:36:00;2;Single;octylisothiazolinone;ug/L;lt;0.03
